Distance_(µm),Gray_Value
0.0000,441.656
0.2257,460.898
0.4515,461.653
0.6772,460.540
0.9029,443.460
1.1287,450.961
1.3544,452.870
1.5801,449.674
1.8059,444.461
2.0316,446.432
2.2573,449.790
2.4831,461.890
2.7088,429.047
2.9345,448.969
3.1603,447.241
3.3860,457.347
3.6117,485.715
3.8375,494.047
4.0632,477.100
4.2889,497.618
4.5147,553.708
4.7404,669.745
4.9661,824.350
5.1919,937.256
5.4176,1239.223
5.6433,2194.107
5.8691,4100.338
6.0948,6250.454
6.3205,5752.581
6.5463,4010.085
6.7720,2139.975
6.9977,1309.787
7.2235,1102.540
7.4492,1081.085
7.6749,1103.465
7.9007,1007.830
8.1264,842.293
8.3521,691.328
8.5779,602.402
8.8036,531.451
9.0293,501.245
9.2551,514.919
9.4808,524.950
9.7065,487.481
9.9323,453.987
10.1580,458.529
10.3837,466.298
10.6095,442.371
10.8352,441.726
11.0609,446.848
11.2867,449.878
11.5124,469.053
11.7381,482.920
11.9639,489.607
12.1896,491.912
12.4153,493.500
