Distanceum,GrayValue
0.00000,419.906
0.22573,419.489
0.45147,436.151
0.67720,432.784
0.90293,426.317
1.12867,436.803
1.35440,438.173
1.58014,430.039
1.80587,462.352
2.03160,484.944
2.25734,455.773
2.48307,483.266
2.70880,535.162
2.93454,623.689
3.16027,758.133
3.38600,946.365
3.61174,1090.614
3.83747,1247.359
4.06321,1394.834
4.28894,1802.451
4.51467,3069.881
4.74041,5146.185
4.96614,6232.977
5.19187,5189.592
5.41761,3159.517
5.64334,1766.331
5.86907,1219.779
6.09481,1011.288
6.32054,892.082
6.54628,689.483
6.77201,571.046
6.99774,518.906
7.22348,493.170
7.44921,494.273
7.67494,515.951
7.90068,463.909
8.12641,471.466
8.35214,452.264
8.57788,431.906
8.80361,451.388
9.02935,444.557
9.25508,456.540
9.48081,456.143
9.70655,444.607
9.93228,453.969
