Distance_(µm),Gray_Value
0.0000,435.172
0.2257,426.063
0.4515,427.537
0.6772,426.582
0.9029,435.093
1.1287,435.308
1.3544,430.333
1.5801,432.313
1.8059,460.879
2.0316,453.025
2.2573,454.817
2.4831,454.910
2.7088,472.906
2.9345,464.742
3.1603,480.693
3.3860,490.473
3.6117,534.375
3.8375,639.598
4.0632,792.857
4.2889,969.080
4.5147,1131.131
4.7404,1266.603
4.9661,1470.989
5.1919,1947.543
5.4176,3009.015
5.6433,4819.000
5.8691,6243.417
6.0948,5734.113
6.3205,3911.636
6.5463,2286.241
6.7720,1486.559
6.9977,1150.174
7.2235,977.793
7.4492,800.675
7.6749,662.815
7.9007,573.466
8.1264,527.071
8.3521,517.140
8.5779,527.755
8.8036,484.322
9.0293,463.288
9.2551,471.199
9.4808,469.225
9.7065,450.521
9.9323,446.281
10.1580,455.085
10.3837,446.789
10.6095,450.500
10.8352,450.359
11.0609,444.822
11.2867,442.860
11.5124,450.873
11.7381,451.804
11.9639,457.750
