Distanceum,GrayValue
0.0000,455.889
0.2257,455.059
0.4515,469.192
0.6772,442.133
0.9029,440.101
1.1287,451.863
1.3544,436.018
1.5801,445.636
1.8059,461.610
2.0316,465.227
2.2573,464.138
2.4831,446.111
2.7088,433.937
2.9345,468.253
3.1603,464.206
3.3860,511.250
3.6117,506.081
3.8375,543.026
4.0632,677.989
4.2889,833.727
4.5147,1064.779
4.7404,1389.369
4.9661,2209.401
5.1919,3747.505
5.4176,5110.392
5.6433,4911.201
5.8691,3386.195
6.0948,2002.481
6.3205,1378.238
6.5463,1180.857
6.7720,1190.903
6.9977,1205.889
7.2235,1139.171
7.4492,950.001
7.6749,774.692
7.9007,697.002
8.1264,614.500
8.3521,552.497
8.5779,545.880
8.8036,545.524
9.0293,490.269
9.2551,482.946
9.4808,457.464
9.7065,460.569
9.9323,458.977
10.1580,451.836
10.3837,467.627
10.6095,448.931
10.8352,445.768
11.0609,430.000
