Distanceum,GrayValue
0.00000,581.333
0.22573,518.623
0.45147,488.348
0.67720,494.105
0.90293,494.311
1.12867,490.895
1.35440,487.551
1.58014,512.340
1.80587,517.742
2.03160,509.062
2.25734,509.122
2.48307,516.575
2.70880,580.355
2.93454,729.237
3.16027,867.184
3.38600,1031.829
3.61174,1382.376
3.83747,2248.675
4.06321,3601.037
4.28894,5078.498
4.51467,4886.090
4.74041,3618.069
4.96614,2290.625
5.19187,1492.792
5.41761,1134.240
5.64334,1043.512
5.86907,1059.984
6.09481,1088.015
6.32054,954.675
6.54628,806.870
6.77201,688.464
6.99774,574.043
7.22348,484.118
7.44921,479.061
7.67494,489.348
7.90068,484.193
8.12641,479.857
8.35214,458.505
8.57788,467.826
8.80361,453.727
9.02935,443.611
