Distance_(µm),Gray_Value
0.0000,426.750
0.2257,428.890
0.4515,423.505
0.6772,415.235
0.9029,424.055
1.1287,437.697
1.3544,427.320
1.5801,435.178
1.8059,430.199
2.0316,430.017
2.2573,428.643
2.4831,435.705
2.7088,432.651
2.9345,435.668
3.1603,444.227
3.3860,453.366
3.6117,460.471
3.8375,477.480
4.0632,466.979
4.2889,467.016
4.5147,506.816
4.7404,592.832
4.9661,733.533
5.1919,921.741
5.4176,1166.217
5.6433,1707.802
5.8691,3153.635
6.0948,5306.130
6.3205,6380.750
6.5463,5160.991
6.7720,3046.476
6.9977,1732.956
7.2235,1307.416
7.4492,1273.458
7.6749,1252.482
7.9007,1140.660
8.1264,966.774
8.3521,820.229
8.5779,702.298
8.8036,625.257
9.0293,577.276
9.2551,519.074
9.4808,515.414
9.7065,499.653
9.9323,455.099
10.1580,450.652
10.3837,459.338
10.6095,469.610
10.8352,480.411
11.0609,473.990
11.2867,455.588
11.5124,459.812
11.7381,479.657
11.9639,480.594
12.1896,459.646
12.4153,448.165
12.6411,454.625
