Distance_(µm),Gray_Value
0.0000,421.500
0.2257,407.947
0.4515,425.835
0.6772,407.191
0.9029,432.273
1.1287,440.620
1.3544,431.427
1.5801,434.251
1.8059,434.569
2.0316,429.230
2.2573,434.703
2.4831,441.650
2.7088,465.075
2.9345,486.656
3.1603,499.035
3.3860,536.489
3.6117,629.852
3.8375,768.635
4.0632,955.226
4.2889,1236.666
4.5147,1701.472
4.7404,2743.197
4.9661,4690.102
5.1919,7207.966
5.4176,7061.605
5.6433,5319.292
5.8691,2929.348
6.0948,1611.892
6.3205,1105.443
6.5463,870.940
6.7720,771.903
6.9977,662.784
7.2235,543.104
7.4492,498.547
7.6749,480.164
7.9007,478.329
8.1264,489.721
8.3521,488.215
8.5779,466.742
8.8036,480.980
9.0293,461.482
9.2551,425.692
9.4808,454.123
9.7065,452.380
9.9323,445.292
10.1580,442.341
10.3837,441.634
10.6095,433.536
10.8352,451.000
