Distance_(µm),Gray_Value
0.0000,489.375
0.2257,453.276
0.4515,468.670
0.6772,458.458
0.9029,447.733
1.1287,438.500
1.3544,455.731
1.5801,466.754
1.8059,469.941
2.0316,478.824
2.2573,513.825
2.4831,511.786
2.7088,500.072
2.9345,535.438
3.1603,595.101
3.3860,687.325
3.6117,792.183
3.8375,923.944
4.0632,1056.300
4.2889,1116.631
4.5147,1183.100
4.7404,1382.398
4.9661,1911.871
5.1919,3474.221
5.4176,5257.085
5.6433,6309.500
5.8691,4976.638
6.0948,3178.519
6.3205,1787.424
6.5463,1280.386
6.7720,983.200
6.9977,800.037
7.2235,631.186
7.4492,519.940
7.6749,493.247
7.9007,488.475
8.1264,489.020
8.3521,482.434
8.5779,467.012
8.8036,454.777
9.0293,461.875
9.2551,459.852
9.4808,457.746
9.7065,446.234
9.9323,437.843
10.1580,451.650
10.3837,467.806
10.6095,473.843
10.8352,498.487
11.0609,514.900
11.2867,521.750
