Distanceum,GrayValue
0.0000,479.297
0.2257,478.128
0.4515,478.790
0.6772,475.710
0.9029,485.700
1.1287,487.000
1.3544,492.684
1.5801,508.773
1.8059,503.144
2.0316,499.147
2.2573,510.382
2.4831,519.575
2.7088,525.504
2.9345,546.855
3.1603,541.199
3.3860,572.791
3.6117,709.871
3.8375,896.432
4.0632,1216.220
4.2889,1656.385
4.5147,2579.713
4.7404,5117.054
4.9661,10387.467
5.1919,11001.531
5.4176,7637.100
5.6433,3555.284
5.8691,1586.257
6.0948,1085.105
6.3205,856.590
6.5463,715.894
6.7720,592.219
6.9977,552.423
7.2235,577.374
7.4492,591.720
7.6749,540.468
7.9007,504.243
8.1264,486.074
8.3521,485.364
8.5779,498.997
8.8036,505.654
9.0293,499.366
9.2551,470.936
9.4808,497.815
9.7065,510.522
9.9323,499.654
10.1580,489.274
10.3837,474.188
