Distanceum,GrayValue
0.0000,442.656
0.2257,428.751
0.4515,426.190
0.6772,422.295
0.9029,424.815
1.1287,432.812
1.3544,448.480
1.5801,456.590
1.8059,454.177
2.0316,460.593
2.2573,484.562
2.4831,491.792
2.7088,482.070
2.9345,512.672
3.1603,544.198
3.3860,643.754
3.6117,755.594
3.8375,906.516
4.0632,1069.465
4.2889,1134.768
4.5147,1136.500
4.7404,1318.160
4.9661,1942.911
5.1919,3626.735
5.4176,6543.391
5.6433,7317.082
5.8691,5910.013
6.0948,3274.888
6.3205,1640.935
6.5463,1105.300
6.7720,889.125
6.9977,713.645
7.2235,576.391
7.4492,515.677
7.6749,500.890
7.9007,485.191
8.1264,465.280
8.3521,440.254
8.5779,433.811
8.8036,465.203
9.0293,460.062
9.2551,450.828
9.4808,443.448
9.7065,438.503
9.9323,437.555
10.1580,439.801
10.3837,421.270
10.6095,428.069
10.8352,435.539
11.0609,432.309
11.2867,418.500
