Distance_(µm),Gray_Value
0.0000,483.000
0.2257,503.656
0.4515,506.775
0.6772,514.829
0.9029,512.943
1.1287,511.140
1.3544,495.292
1.5801,504.913
1.8059,488.054
2.0316,497.049
2.2573,516.840
2.4831,503.773
2.7088,519.742
2.9345,575.566
3.1603,636.814
3.3860,722.566
3.6117,852.007
3.8375,1018.339
4.0632,1161.659
4.2889,1349.728
4.5147,1613.547
4.7404,3023.222
4.9661,6713.145
5.1919,10917.576
5.4176,10490.771
5.6433,5662.125
5.8691,2431.647
6.0948,1129.985
6.3205,862.916
6.5463,704.207
6.7720,597.179
6.9977,517.542
7.2235,530.290
7.4492,519.147
7.6749,514.607
7.9007,524.364
8.1264,505.685
8.3521,495.290
8.5779,529.080
8.8036,498.239
9.0293,483.439
9.2551,494.420
9.4808,485.387
9.7065,479.444
9.9323,482.351
10.1580,487.208
10.3837,488.138
10.6095,470.031
