Distance_(µm),Gray_Value
0.0000,416.250
0.2257,443.289
0.4515,445.288
0.6772,420.549
0.9029,427.123
1.1287,421.690
1.3544,429.979
1.5801,431.067
1.8059,426.133
2.0316,451.500
2.2573,431.278
2.4831,435.763
2.7088,453.819
2.9345,467.983
3.1603,471.015
3.3860,481.007
3.6117,509.130
3.8375,536.073
4.0632,580.875
4.2889,705.137
4.5147,876.716
4.7404,1070.361
4.9661,1353.622
5.1919,1750.196
5.4176,2329.194
5.6433,3645.744
5.8691,5252.754
6.0948,6196.375
6.3205,5177.920
6.5463,3396.932
6.7720,1882.847
6.9977,1231.535
7.2235,950.972
7.4492,815.722
7.6749,732.684
7.9007,584.577
8.1264,529.875
8.3521,491.168
8.5779,485.674
8.8036,486.160
9.0293,489.256
9.2551,472.765
9.4808,472.806
9.7065,459.990
9.9323,450.894
10.1580,421.125
10.3837,438.350
10.6095,447.653
10.8352,453.861
11.0609,437.270
11.2867,427.431
11.5124,467.493
11.7381,483.252
11.9639,468.654
12.1896,463.562
