Distanceum,GrayValue
0.00000,493.656
0.22573,487.815
0.45147,486.163
0.67720,497.251
0.90293,502.892
1.12867,490.039
1.35440,487.125
1.58014,488.521
1.80587,509.216
2.03160,527.675
2.25734,538.400
2.48307,548.964
2.70880,575.555
2.93454,646.067
3.16027,805.911
3.38600,1011.637
3.61174,1230.405
3.83747,1491.015
4.06321,1998.291
4.28894,3980.557
4.51467,8045.995
4.74041,10807.125
4.96614,8776.509
5.19187,4507.861
5.41761,1969.495
5.64334,1169.240
5.86907,919.312
6.09481,738.634
6.32054,620.021
6.54628,561.030
6.77201,549.436
6.99774,545.404
7.22348,528.615
7.44921,506.134
7.67494,504.341
7.90068,512.927
8.12641,514.472
8.35214,500.519
8.57788,490.161
8.80361,493.084
9.02935,486.939
9.25508,477.365
9.48081,482.297
