Distance_(µm),Gray_Value
0.0000,496.250
0.2257,481.874
0.4515,491.287
0.6772,502.444
0.9029,499.792
1.1287,479.245
1.3544,474.824
1.5801,490.162
1.8059,479.031
2.0316,472.664
2.2573,477.323
2.4831,486.488
2.7088,490.157
2.9345,482.851
3.1603,481.942
3.3860,491.282
3.6117,520.417
3.8375,524.182
4.0632,513.943
4.2889,525.942
4.5147,563.751
4.7404,649.653
4.9661,788.529
5.1919,1033.880
5.4176,1642.657
5.6433,3676.211
5.8691,7692.702
6.0948,10760.227
6.3205,9265.032
6.5463,5058.738
6.7720,2373.990
6.9977,1739.948
7.2235,1587.459
7.4492,1362.868
7.6749,1090.997
7.9007,869.148
8.1264,721.542
8.3521,628.592
8.5779,570.328
8.8036,544.193
9.0293,537.976
9.2551,543.688
9.4808,520.704
9.7065,512.574
9.9323,507.842
10.1580,502.542
10.3837,491.722
10.6095,494.456
10.8352,494.685
11.0609,477.495
11.2867,473.216
11.5124,483.602
11.7381,475.937
11.9639,476.073
12.1896,493.625
