Distanceum,GrayValue
0.0000,430.516
0.2257,434.401
0.4515,430.068
0.6772,438.089
0.9029,441.133
1.1287,444.032
1.3544,449.715
1.5801,451.927
1.8059,461.884
2.0316,459.828
2.2573,471.351
2.4831,466.928
2.7088,490.700
2.9345,503.886
3.1603,506.474
3.3860,598.088
3.6117,683.266
3.8375,883.273
4.0632,1074.959
4.2889,1275.845
4.5147,1422.452
4.7404,1740.889
4.9661,2835.896
5.1919,5241.778
5.4176,7423.704
5.6433,7033.588
5.8691,4655.171
6.0948,2508.751
6.3205,1531.510
6.5463,1159.480
6.7720,993.964
6.9977,796.076
7.2235,631.680
7.4492,545.342
7.6749,525.443
7.9007,531.801
8.1264,510.607
8.3521,502.440
8.5779,491.004
8.8036,475.425
9.0293,473.441
9.2551,486.599
9.4808,469.808
9.7065,464.492
9.9323,485.075
10.1580,506.506
10.3837,513.681
10.6095,539.724
10.8352,542.525
11.0609,578.375
