Distanceum,GrayValue
0.0000,421.094
0.2257,418.795
0.4515,425.240
0.6772,410.864
0.9029,423.762
1.1287,437.454
1.3544,440.212
1.5801,435.504
1.8059,443.513
2.0316,443.309
2.2573,430.781
2.4831,434.671
2.7088,439.649
2.9345,463.047
3.1603,484.928
3.3860,487.310
3.6117,501.009
3.8375,542.072
4.0632,622.253
4.2889,786.062
4.5147,948.234
4.7404,1175.023
4.9661,1545.714
5.1919,2251.410
5.4176,3642.625
5.6433,5597.276
5.8691,6316.000
6.0948,4799.271
6.3205,2761.875
6.5463,1584.737
6.7720,1027.911
6.9977,858.283
7.2235,764.757
7.4492,663.540
7.6749,592.905
7.9007,521.704
8.1264,495.464
8.3521,537.926
8.5779,500.889
8.8036,486.875
9.0293,444.893
9.2551,455.588
9.4808,456.713
9.7065,458.958
9.9323,460.506
10.1580,451.973
10.3837,434.253
10.6095,454.809
10.8352,456.466
11.0609,433.292
11.2867,426.540
11.5124,433.241
11.7381,443.125
