Distance_(µm),Gray_Value
0.0000,407.250
0.2257,425.167
0.4515,439.684
0.6772,458.632
0.9029,445.422
1.1287,438.657
1.3544,425.566
1.5801,427.098
1.8059,445.806
2.0316,436.235
2.2573,447.120
2.4831,461.054
2.7088,440.912
2.9345,440.745
3.1603,456.775
3.3860,457.559
3.6117,453.664
3.8375,465.500
4.0632,528.074
4.2889,666.235
4.5147,844.103
4.7404,1056.382
4.9661,1418.647
5.1919,2193.819
5.4176,3706.221
5.6433,5466.833
5.8691,5967.907
6.0948,4624.500
6.3205,2797.172
6.5463,1708.323
6.7720,1370.706
6.9977,1328.500
7.2235,1318.314
7.4492,1196.412
7.6749,1022.208
7.9007,857.338
8.1264,749.434
8.3521,638.814
8.5779,563.929
8.8036,550.632
9.0293,549.453
9.2551,530.176
9.4808,495.250
9.7065,472.407
9.9323,453.240
10.1580,461.500
10.3837,461.924
10.6095,460.471
10.8352,486.632
11.0609,480.627
11.2867,458.029
11.5124,456.250
